code,latitude,longitude,ipnitypes_nodes.node_id,ipnitypes_nodes.type_holder_code
LD,55.6909,13.2178,159,LD
GAZI,39.920357,32.818905,160,GAZI
ANK,39.934793,32.836662,161,ANK
ISTE,41.012408,28.962243,162,ISTE
HIMC,40.810558,111.652222,163,HIMC
AAS,52.212708,0.08011,164,AAS
MARY,38.998225,-76.942985,165,MARY
HUEFS,-12.237698,-38.958424,166,HUEFS
USM,-12.077558,-77.037475,167,USM
HO,-42.905394,147.320665,168,HO
MHA,55.754005,37.616592,169,MHA
MW,55.70451,37.523141,170,MW
GH,42.3790878,-71.1145945,171,GH
BKF,13.8239,100.569,172,BKF
GXMI,22.8167,108.3167,173,GXMI
SWFC,27.024498,101.080559,174,SWFC
SCFI,30.6933,104.078499,175,SCFI
TEF,-18.859758,47.597183,176,TEF
EMA,27.666128,113.903343,177,EMA
CBG,-35.2715224,149.1126156,178,CBG
IBGE,-15.947471,-47.8777,179,IBGE
SP,-23.645382,-46.626062,180,SP
MSUN,51.962399,7.612071,181,MSUN
LEB,42.593125,-5.576167,182,LEB
SOM,42.67128,23.36533,183,SOM
TNS,36.103122,140.1105,184,TNS
USZ,-17.7925,-63.1819,185,USZ
CHR,-43.640497,172.476629,186,CHR
KFRI,10.524335,76.307983,187,KFRI
SAN,5.849786,118.080139,188,SAN
,,,189,Kinabalu Park Herbarium
,,,190,University Malaysia Sarawak Herbarium
,,,191,RBM
UBC,49.264,-123.25,192,UBC
DUKE,35.999828,-78.945042,193,DUKE
GB,57.681975,11.950286,194,GB
SGO,-33.425819,-70.566513,195,SGO
,,,196,SGO (118386) (118386)
EAP,14.091537,-87.198616,197,EAP
BRUN,4.94029,114.948059,198,BRUN
UPR,18.440202,-66.055813,199,UPR
ASU,33.41998,-111.93381,200,ASU
JBSD,18.484291,-69.920341,201,JBSD
MAPR,18.210649,-67.139925,202,MAPR
,,,203,Agricultural University of Yunnan
SYS,23.097719,113.297928,204,SYS
TFAV,5.66389,-67.623611,205,TFAV
,,,206,BISC
,,,207,Herbarium Bradeanum
SEL,27.3284,-82.5398,208,SEL
WELT,-41.29006141,174.782186,209,WELT
AK,-36.874092,174.780853,210,AK
BRCH,0,0,211,BRCH
BRIT,32.755653,-97.328888,212,BRIT
CM,40.444012,-79.950363,213,CM
FTG,25.67668,-80.273167,214,FTG
GENT,51.036461,3.72207,215,GENT
KANU,38.95797,-95.249534,216,KANU
KNK,39.039234,-84.454826,217,KNK
MIN,44.984547,-93.181801,218,MIN
NLU,0,0,219,NLU
NLU,10.8714305,106.789378,219,NLU
OKL,35.195377,-97.441246,220,OKL
PH,39.956915,-75.1713,221,PH
TENN,35.952387,-83.931839,222,TENN
UARK,36.058544,-94.18353,223,UARK
VDB,36.142157,-86.803775,224,VDB
WIS,43.073853,-89.404144,225,WIS
WAIK,-37.7869,175.3185,226,WAIK
NCU,35.90825274,-79.05078828,227,NCU
,,,228,Herb. Bryson
QMEX,20.589319,-100.409645,229,QMEX
UAMIZ,19.36034722,-99.07183333,230,UAMIZ
SZ,30.64308,104.106781,231,SZ
CDBI,30.62999,104.050308,232,CDBI
UB,-15.7466,-47.8654,233,UB
,,,234,UB-64
,,,235,UB-65
,,,236,UB-66
HUJ,31.77367,35.219505,237,HUJ
,,,238,UB-67
,,,239,Akdeniz University Herbarium
HUB,39.860538,32.741161,240,HUB
GE,44.41732,8.92659,241,GE
,,,242,Xixian Agricultural Experiment Station
BJFC,40.001324,116.345488,243,BJFC
SOA,42.133949,24.764709,244,SOA
BH,42.448947,-76.476254,245,BH
USJ,9.937703,-84.049483,246,USJ
,,,247,"Herb. Forest Dept., Gangtok"
CEPEC,-13.799,-39.2819,248,CEPEC
AMES,42.379088,-71.1145947,249,AMES
MOL,-12.080083,-76.948361,250,MOL
MSC,42.722532,-84.473627,251,MSC
XAL,19.528755,-96.906487,252,XAL
ISC,42.028505,-93.644618,253,ISC
CHAPA,19.460692,-98.905056,254,CHAPA
HAL,51.488132,11.959793,255,HAL
FCME,19.322994,-99.181137,256,FCME
,,,257,HBCB
NTUF,25.04776,121.531853,258,NTUF
,,,259,Herb. H. Königer
CIT,29.482296,106.717308,260,CIT
GFJP,-20.73542,-42.051414,261,GFJP
RPSC,-0.25,-79.150002,262,RPSC
KYO,34.995322,135.783356,263,KYO
CBM,35.674297,140.055775,264,CBM
TI,35.7086052,139.7611939,265,TI
SCA,4.0242,9.2149,266,SCA
YA,3.86667,11.51667,267,YA
LAE,-6.720422,146.998808,268,LAE
,,,269,CIDIR
HUAA,21.91774,-102.314087,270,HUAA
CHAP,19.496241,-98.891937,271,CHAP
IZTA,19.51573,-99.188568,272,IZTA
FRU,42.84827,74.512779,273,FRU
,,,274,UG
SM,29.55624,106.628014,275,SM
NAS,32.061169,118.853348,276,NAS
IFP,41.7922,123.4328,277,IFP
MUB,38.01218,-1.155953,278,MUB
UWO,42.9964,-81.2474,279,UWO
TRT,43.667206,-79.39442,280,TRT
,,,281,TEX-LL
GUADA,20.695799,-103.40609,282,GUADA
ASTC,31.6203,-94.6484,283,ASTC
SANT,42.85656,-8.53546,284,SANT
WIND,-22.55941,17.083229,285,WIND
FLAS,29.643669,-82.34108,286,FLAS
LL,30.28626,-97.733774,287,LL
NOU,-22.30172,166.4437,288,NOU
Z,47.358688,8.5585,289,Z
,,,290,WYF
GXF,22.8167,108.3167,291,GXF
IBK,25.06374,110.319382,292,IBK
,,,293,"Dept. of Biology, Dali Teachers College, Yunnan"
SEV,37.382111,-5.98556,294,SEV
GRM,45.187347,5.732911,295,GRM
GM,49.2248,17.6586,296,GM
KL,46.627571,14.292633,297,KL
,,,298,Herb. Halda
NSK,54.820623,83.104741,299,NSK
BCF,41.382229,2.1042,300,BCF
,,,301,Deutsche Orchideen-Gesellschaft
AIBU,40.703442,31.543989,302,AIBU
HEAC,34.7578,113.6486,303,HEAC
,,,304,Herb. Luoyang Agricultural College
TBGT,8.565752,76.922134,305,TBGT
PMA,9.03899,-79.5326,306,PMA
HNMN,12.141825,-86.259369,307,HNMN
PBL,11.63765,92.726105,308,PBL
PNH,14.60103,120.976158,309,PNH
JAUM,6.253615,-75.571869,310,JAUM
OS,39.99815,-83.042313,311,OS
AA,43.250581,76.951544,312,AA
RAB,34.008808,-6.84142,313,RAB
,,,314,GZFI
BTU,52.517958,13.324972,315,BTU
LI,47.189198,14.693395,316,LI
STE,-33.927761,18.894011,317,STE
SBBG,34.453556,-119.709351,318,SBBG
HAS,-30.05743,-51.184361,319,HAS
,,,320,WHBI
,,,321,Cante herbarium
HNT,34.1296,-118.114,322,HNT
,,,323,UNAM
BSJO,26.26841,72.985817,324,BSJO
,,,325,US?
SUVA,-18.141609,178.441483,326,SUVA
DBN,53.3714,-6.27154,327,DBN
LISC,38.700001,-9.18394,328,LISC
,,,329,Herb. Pierre Delforge
NT,-23.70478,133.83778,330,NT
WSY,51.3173,-0.464177,331,WSY
NS,54.820623,83.104741,332,NS
GUAY,-2.17863,-79.8798,333,GUAY
,,,334,Aden Univ.
NE,-30.48815,151.641822,335,NE
HAO,-8.110692,-79.012924,336,HAO
LSU,30.410988,-91.177232,337,LSU
PR,50.122294,14.629279,338,PR
,,,339,herb. H. Akhani
FCO,43.356174,-5.872839,340,FCO
MAF,40.442799,-3.72588,341,MAF
,,,342,NEFU
,,,343,SIMAO
BLAT,18.935102,72.834053,344,BLAT
HB,-22.910934,-43.374222,345,HB
ZSS,47.35696,8.53565,346,ZSS
PACA,-29.752176,-51.114788,347,PACA
BAK,40.37767,49.89201,348,BAK
R,-22.908194,-43.226417,349,R
LP,-34.930294,-57.95451,350,LP
,,,351,Kununurra
UNSW,-33.9177,151.235,352,UNSW
,,,353,"Orchid Herbarium, Tipi"
VIT,42.850113,-2.675045,354,VIT
EBUM,19.690401,-101.197029,355,EBUM
NMW,51.485607,-3.177393,356,NMW
KUS,37.498278,127.062346,357,KUS
,,,358,CANTE
,,,359,Australian National Herbarium CBG
,,,360,National Herbarium of New South Wales CBG
JPB,-7.149277,-34.841839,361,JPB
BRLU,50.810081,4.381855,362,BRLU
MEDEL,6.260377857,-75.57557122,363,MEDEL
,,,364,SCIB
HJ,-17.923169,-51.717238,365,HJ
BRG,6.80448,-58.15527,366,BRG
ORE,44.039974,-123.061615,367,ORE
,,,368,OSU
HUTM,26.7147,112.3839,369,HUTM
POZG,52.443249,16.92733,370,POZG
MOG,2.03711,45.34375,371,MOG
MI,45,9,372,MI
MJG,49.983082,8.232466,373,MJG
