code,lat,lng
UPCB,-25.462143,-49.287239
EHCV,36.774097,-81.833138
HMAS,39.9389,116.3883
NHNE,43.175953,-71.814491
BRUN,4.94029,114.948059
NASC,42.690357,-73.101616
KHER,46.646063,32.629518
TUB,48.537968,9.032574
USLH,30.239912,-92.002106
YUO,41.126202,-80.646599
UPM,3.003613,101.708931
BNU,39.856628,116.414421
MUB,38.01218,-1.155953
UJAT,18.022961,-92.96167
CURLA,15.75939,-86.780884
UFA,54.751984,55.965527
CSAT,17.99312,-93.385986
CH,16.707212,-92.633949
CRBK,51.166664,0.641665
RESC,40.526402,-122.290779
QPAR,45.540215,-73.57592
GFND,47.922249,-97.082291
BG,60.38356,5.32611
ANA,33.838295,-117.885345
HNNU,28.197269,113.020447
WUD,42.360649,-83.069092
KPBG,-31.947773,115.837555
SARC,37.293488,-80.077271
ROCH,40.670898,-73.927948
EPHR,39.354019,-111.584763
ALBA,38.987923,-1.852736
ABSH,37.730034,-89.217552
DEWV,38.930988,-79.848869
POR,40.811455,14.342786
TRT,43.667206,-79.39442
ANSM,25.461399,-101.025864
LSUS,32.426811,-93.708282
IOC,-22.87166,-43.434822
SHY,52.36927,-2.716884
LAM,34.01815,-118.289009
LJM,46.001171,14.47855
HAM,43.250595,-79.851639
ON,23.613349,58.593268
MHA,55.754005,37.616592
HJBL,15.715601,-87.461769
NAT,50.533329,-3.6
KKU,15.99656,103.581772
OFC,51.676109,-4.91583
HLL,53.746661,-0.337202
HLU,53.746661,-0.337202
NTLN,0,0
WAU,-7.35738,146.823761
HEU,29.8643,31.3173
MFLU,19.902306,99.831322
SUD,51.75,-2.2
LTH,53.366638,-0.00438
TAUF,40.632721,22.948717
BLH,42.561901,-83.225616
RTHM,54.073689,-0.95032
SAR,1.506867,110.32637
MSKU,53.895077,27.551128
MSK,53.895077,27.551128
LISU,38.717411,-9.15034
ARB,36.191284,44.009754
DWU,43.696527,-98.031231
JBCC,58.299358,-134.413834
CHRG,51.60614,-0.184187
DD,30.319902,77.997154
WCUH,35.20705,-83.171043
BBSUK,51.485607,-3.177393
CMBY,51.44194,-0.461365
MAC,-9.640474,-35.745403
MDH,54.564453,-1.241713
HB,-22.910934,-43.374222
MH,11.01347,76.935463
BLAT,18.935102,72.834053
SDNU,36.641911,117.061203
MICG,14.583947,-90.553731
LL,30.28626,-97.733774
SFRF,37.795998,-122.401718
RHMD,28.618992,77.158607
BIRA,52.479622,-1.90361
LUA,-12.78,15.74
TEB,43.775299,41.909851
SBG,45.036587,41.926529
LENUD,42.974876,47.413532
SAK,46.96117,142.73201
LGHF,50.470188,6.117589
SMRS,45.041225,41.945938
BELZ,50.581638,35.975361
MNHM,49.99897,8.271309
QFBE,46.806557,-71.227539
MMNS,32.32333,-90.160286
SOTO,36.619248,-93.235881
SWSL,33.421951,-90.905388
IAUH,35.659702,51.471612
BJA,-3.47234,29.782967
KONL,47.660225,9.174746
PUA,38.569908,-122.44384
HEID,49.415154,8.669184
FAR,35.70435,51.426457
FHK,8.426291,-11.528263
CFIA,45.164894,-75.992378
MLY,48.30175,18.335171
MJSD,47.320099,5.02684
ZA,45.815071,15.97222
SPFR,-21.166046,-47.852417
SAPCL,34.78178,-79.448662
QCNE,-0.229675,-78.524612
KAS,51.280769,9.449335
MAY,45.28064,39.330677
ETH,9.003844,38.756622
CTESN,-27.466669,-58.833328
SHG,26.62829,31.629839
HNM,18.10033,-15.94975
HBNU,38.288689,114.596741
SHI,44.275333,85.998634
HFR,0,0
CHAB,48.372044,135.041443
BI,41.107483,16.878159
MOVC,41.926979,-91.42535
BHU,52.454254,13.473164
RIOC,-33.158779,-64.340714
MSUN,51.962399,7.612071
CHUR,46.853619,9.53451
SJRP,-20.786346,-49.358711
IS,41.594795,14.233574
OMC,37.779274,-122.182388
HUFU,-18.906649,-48.268753
JHS,27.18399,78.023369
URM,-8.055443,-34.951045
SZ,30.64308,104.106781
EBE,50.768039,0.278724
YM,37.743177,-119.598862
BCW,51.416672,-0.56667
GUA,0,0
UOS,35.203175,-85.919848
CUW,42.244938,-71.805702
USCWH,51.033329,-4.23333
CNE,53.629498,-1.794394
GHD,54.945,-1.6175
KBT,54.836832,-4.048891
LTHP,53.366638,-0.00438
SLSK,56.338711,-2.79902
TRES,49.954979,-6.336
UEA,52.627831,1.29834
KNOX,40.955051,-90.342644
GRK,55.950676,-4.7677
TOR,50.469743,-3.532013
PTH,56.396851,-3.426838
BRAD,53.789935,-1.767361
HME,51.089261,-0.708063
FRP,50.122482,8.658621
HDSM,41.628696,-71.002415
KEN,39.84087,-75.707535
NI,48.303333,18.091719
CHEB,50.0797,12.370171
GRCH,42.816422,-75.534927
BMH,50.998856,-1.279707
STFX,45.61417,-61.984901
ENG,51.433331,-0.58333
BRFL,52.48008,-1.904352
SMCW,44.495849,-73.163605
ALAM,37.473869,-105.872902
SWC,39.906319,-75.352608
TRN,53.022155,18.568551
SHTC,37.521843,-120.855759
MISU,48.246542,-101.301539
WFBVA,48.165665,16.31794
AST,52.391441,-1.75869
RIN,52.013176,5.43058
HPVC,22.445715,-80.002274
HEFG,9.337808,13.383925
SS,40.722455,8.550552
CEL,40.111893,-88.223961
CHER,48.537521,28.107285
CDBI,30.62999,104.050308
AF,29.657931,91.091383
STS,58.958535,-3.301142
CATA,33.339241,-118.329941
POZG,52.443249,16.92733
ETON,51.491721,-0.607661
CORT,42.599045,-76.188877
MP,50.041295,15.777161
MARS,43.30389,5.37742
TAC,32.214689,-98.214504
SVUTY,13.629816,79.396825
PASA,34.145981,-118.118401
LRU,34.720459,-92.34201
AQC,42.957981,-85.629288
YCH,34.545623,-112.456969
IASI,47.197769,27.54846
BAMU,19.902446,75.313447
WOLL,-34.40765,150.874924
INB,9.971863,-84.093114
VDB,36.142157,-86.803775
PRI,39.597824,-110.802048
CP,55.680271,12.53908
TUCH,27.701691,85.320602
RAF,20.85,95.89167
WINO,44.044399,-91.697876
OTT,45.421,-75.6814
UAM,33.588615,-91.808174
MCJ,37.08009,-94.508179
UCAC,35.07862,-92.457531
BGSU,41.379991,-83.640635
DWP,28.134199,-81.446182
SYRF,43.046085,-76.135384
PL,49.744469,13.38026
VMI,37.7898789,-79.4351864
ANKO,39.925926,32.824638
UCAM,19.828947,-90.556966
SUCO,42.454918,-75.058617
CHIP,16.758566,-93.118599
HGOM,20.121,-98.731842
SBY,51.064071,-1.799856
CIMAP,26.860718,80.891975
MHU,0.3351,32.568286
GLM,51.153475,14.986657
HTW,-43.248951,-65.305054
TFMC,28.469025,-16.25474
STAL,51.75323,-0.354784
USAM,30.695156,-88.179489
BUCA,44.445229,26.050894
CI,37.427998,-122.177467
ABN,51.671089,-1.28278
TLJ,43.562765,1.46101
TLF,43.562765,1.46101
GOPU,40.293644,36.477291
PPU,58.008591,56.25103
UOJ,9.75,-63.51667
TALE,44.798553,-0.5877
MOG,2.03711,45.34375
UNAF,34.82729,-87.621712
PAMG,-19.885181,-43.917347
AU,24.436729,118.107208
POZW,52.443249,16.92733
SNU,37.478409,126.951607
FMUH,34.195869,-79.794693
LUB,53.860119,10.6851
HMS,-20.465334,-54.626186
FTU,28.596901,-81.203819
TFAV,5.66389,-67.623611
MSUB,45.794781,-108.521812
SMH,38.179504,-86.829597
CRLA,42.76857,-122.06205
NEMO,40.196125,-92.58255
SDM,32.810432,-117.156334
DINH,44.101002,-69.962288
SSJC,37.960403,-121.289706
SACL,37.343632,-121.952263
ADR,41.89732,-84.05835
UKSPI,49.9729,82.605476
UPR,18.440202,-66.055813
KFTA,59.938156,30.314781
KBAI,45.030853,39.000771
UPSU,54.317692,48.40448
LAPL,67.912056,33.058907
OMSKM,55.02206,73.311623
